51,95
65,00
51,97
41,92
38,97
37,69
37,38
28,88
35,15
39,19
44,88
48,66
55,01
60,75
58,00
50,00
55,00
90,00
55,00
49,27
51,80
49,06
43,46
45,96
43,95
45,00
43,97
42,00
41,14
43,92
51,74
40,85
43,07
47,03
48,10
47,47
53,31
51,14
49,91
50,95
64,42
90,00
66,27
58,60
51,16
50,23
43,05
45,54
46,03
42,98
39,27
37,72
40,42
42,80
50,55
47,57
52,10
56,27
51,63
48,18
47,60
47,58
47,57
50,70
68,88
114,28
75,10
56,33
59,48
46,08
42,51
39,50
43,96
42,06
40,86
38,00
37,99
41,45
48,73
47,53
50,54
53,72
54,88
51,99
48,05
47,57
47,27
56,46
62,99
122,37
80,01
59,95
54,33
49,83
43,59
42,55
42,15
41,54
39,43
36,86
37,54
41,53
48,88
50,84
53,00
58,96
52,96
46,57
46,51
46,08
47,42
57,50
65,59
125,00
77,95
59,02
52,17
47,29
41,53
43,60
44,96
43,41
40,10
38,93
38,00
41,91
46,69
46,67
54,98
54,47
50,72
47,06
48,34
46,59
46,06
46,53
58,74
99,00
61,23
50,07
50,00
51,51
42,07
45,97
46,06
43,30
41,40
40,10
40,92
40,34
37,91
40,00
41,83
53,00
53,91
53,47
53,26
46,04
44,51
49,38
61,53
92,60
68,55
57,02
50,14
48,52
40,99
44,03
44,80
46,32
41,94
40,08
40,08
39,37
41,86
35,01
39,00
48,49
49,07
56,03
53,95
47,90
46,38
47,32
60,76
94,95
67,48
58,82
55,00
41,16
35,65
39,78
42,57
41,79
37,49
34,00
33,00
37,55
47,82
46,39
56,29
55,21
51,39
50,20
46,96
43,54
41,46
43,54
64,73
82,38
66,89
59,83
52,46
40,48
28,87
41,90
42,56
40,93
40,02
36,54
33,70
38,99
46,10
44,82
49,50
49,13
47,85
51,06
45,99
51,43
54,50
55,31
74,69
89,20
74,59
55,11
58,39
47,06
40,81
45,06
49,91
45,04
41,96
39,91
35,91
40,02
45,93
49,40
48,82
52,96
55,00
51,32
46,85
48,56
53,04
50,00
59,82
81,51
71,25
59,09
53,27
